round,grandPrix,circuitName,country,city,flag,raceDate
1,Australian,Albert Park Circuit,Australia,Melbourne,🇦🇺,3/16/2025
2,Chinese,Shanghai International Circuit,China,Shanghai,🇨🇳,3/23/2025
3,Japanese,Suzuka International Racing Course,Japan,Suzuka,🇯🇵,4/6/2025
4,Bahrain,Bahrain International Circuit,Bahrain,Sakhir,🇧🇭,4/13/2025
5,Saudi Arabian,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,🇸🇦,4/20/2025
6,Miami,Miami International Autodrome,United States,Miami,🇺🇸,5/4/2025
7,Emilia Romagna,Imola Circuit,Italy,Imola,🇮🇹,5/18/2025
8,Monaco,Circuit de Monaco,Monaco,Monaco,🇲🇨,5/25/2025
9,Spanish,Circuit de Barcelona-Catalunya,Spain,Montmeló,🇪🇸,6/1/2025
10,Canadian,Circuit Gilles Villeneuve,Canada,Montreal,🇨🇦,6/15/2025
11,Austrian,Red Bull Ring,Austria,Spielberg,🇦🇹,6/29/2025
12,British,Silverstone Circuit,United Kingdom,Silverstone,🇬🇧,7/6/2025
13,Belgian,Circuit de Spa-Francorchamps,Belgium,Stavelot,🇧🇪,7/27/2025
14,Hungarian,Hungaroring,Hungary,Mogyoród,🇭🇺,8/3/2025
15,Dutch,Circuit Zandvoort,Netherlands,Zandvoort,🇳🇱,8/31/2025
16,Italian,Monza Circuit,Italy,Monza,🇮🇹,9/7/2025
17,Azerbaijan,Baku City Circuit,Azerbaijan,Baku,🇦🇿,9/21/2025
18,Singapore,Marina Bay Street Circuit,Singapore,Singapore,🇸🇬,10/5/2025
19,United States,Circuit of the Americas,United States,Austin,🇺🇸,10/19/2025
20,Mexico City,Autódromo Hermanos Rodríguez,Mexico,Mexico City,🇲🇽,10/26/2025
21,São Paulo,Interlagos Circuit,Brazil,São Paulo,🇧🇷,11/9/2025
22,Las Vegas,Las Vegas Strip Circuit,United States,Paradise,🇺🇸,11/22/2025
23,Qatar,Lusail International Circuit,Qatar,Lusail,🇶🇦,11/30/2025
24,Abu Dhabi,Yas Marina Circuit,United Arab Emirates,Abu Dhabi,🇦🇪,12/7/2025
